id,has_facsimile,edited,provisional_transcription,automatic_transcription,type
451,False,False,False,False,Verweis
452,True,False,True,False,Brief
453,True,False,True,False,Brief
454,False,False,True,False,Brief
455,True,False,True,False,Brief
456,True,False,True,False,Brief
457,True,False,True,False,Brief
458,True,False,True,False,Brief
459,True,False,True,False,Brief
460,True,False,True,False,Brief
461,True,False,True,False,Brief
462,True,False,True,False,Brief
463,True,False,True,False,Brief
464,True,False,True,False,Brief
465,True,False,True,False,Begleitbrief
466,True,False,False,True,Brief
467,True,False,True,False,Brief
468,True,False,True,False,Brief
469,True,False,True,False,Brief
470,True,False,True,False,Brief
471,True,False,True,False,Brief
472,True,False,True,False,Brief
473,True,False,True,False,Brief
474,True,False,True,False,Brief
475,True,False,True,False,Brief
476,True,False,True,False,Brief
477,True,False,True,False,Brief
478,True,False,True,False,Brief
479,True,False,True,False,Brief
480,True,False,True,False,Brief
481,True,False,True,False,Brief
482,True,False,True,False,Brief
483,True,False,True,False,Brief
484,True,False,True,False,Brief
485,True,False,True,False,Brief
486,True,False,True,False,Brief
487,True,False,True,False,Brief
488,True,False,True,False,Brief
489,True,False,True,False,Brief
490,True,False,True,False,Brief
491,True,False,True,False,Brief
492,True,False,True,False,Brief
493,True,False,True,False,Brief
494,True,False,True,False,Brief
495,True,False,True,False,Brief
496,True,False,True,False,Brief
497,True,False,True,False,Brief
498,True,False,True,False,Brief
499,True,False,True,False,Brief
500,True,False,True,False,Brief
501,True,False,True,False,Brief
502,True,False,True,False,Brief
503,True,False,True,False,Brief
504,True,False,True,False,Brief
505,True,False,True,False,Brief
506,True,False,True,False,Brief
507,True,False,True,False,Brief
508,True,False,True,False,Brief
509,True,False,True,False,Brief
510,True,False,True,False,Brief
511,True,False,False,True,Brief
512,True,False,True,False,Brief
513,True,False,True,False,Brief
514,True,False,True,False,Brief
515,True,False,True,False,Brief
516,True,False,False,True,Brief
517,True,False,False,True,Brief
518,True,False,True,False,Brief
519,True,False,True,False,Brief
520,True,False,True,False,Brief
521,True,False,True,False,Brief
522,True,False,True,False,Brief
523,True,False,True,False,Brief
524,True,False,True,False,Brief
525,True,False,True,False,Brief
526,False,False,True,False,Brief
527,True,False,True,False,Brief
528,False,False,True,False,Brief
529,False,False,True,False,Brief
530,True,False,True,False,Brief
531,True,False,True,False,Brief
532,True,False,True,False,Brief
533,True,False,True,False,Brief
534,True,False,True,False,Brief
535,True,False,True,False,Brief
536,True,False,True,False,Brief
537,True,False,True,False,Brief
538,True,False,True,False,Brief
539,True,False,True,False,Brief
540,False,False,False,False,Verweis
541,True,False,True,False,Brief
542,True,False,True,False,Brief
543,True,False,True,False,Brief
544,True,False,True,False,Brief
545,True,False,True,False,Brief
546,True,False,False,True,Gutachten
549,True,False,True,False,Brief
550,True,False,True,False,Brief
551,True,False,True,False,Brief
552,True,False,True,False,Brief
553,True,False,True,False,Brief
554,True,False,True,False,Widmung
555,True,False,True,False,Brief
556,True,False,False,True,Brief
557,True,False,True,False,Brief
558,True,False,False,True,Brief
559,True,False,True,False,Brief
560,True,False,True,False,Brief
561,True,False,True,False,Brief
562,True,False,True,False,Brief
563,True,False,True,False,Brief
564,True,False,True,False,Brief
565,True,False,True,False,Brief
566,True,False,True,False,Brief
567,True,False,True,False,Brief
568,True,False,True,False,Brief
569,True,False,False,True,Brief
570,True,False,True,False,Brief
571,True,False,True,False,Brief
572,False,False,True,False,Brief
573,True,False,True,False,Brief
574,True,False,True,False,Brief
575,True,False,True,False,Brief
576,True,False,True,False,Brief
577,True,False,True,False,Brief
578,True,False,True,False,Brief
579,True,False,True,False,Brief
580,True,False,True,False,Brief
581,True,False,True,False,Brief
582,True,False,True,False,Brief
583,True,False,True,False,Brief
584,True,False,True,False,Brief
585,True,False,True,False,Brief
586,True,False,True,False,Brief
587,False,False,True,False,Brief
588,True,False,True,False,Brief
589,True,False,False,True,Hinweis
590,True,False,True,False,Brief
591,True,False,True,False,Brief
592,True,False,True,False,Brief
593,False,False,False,False,Verweis
594,True,False,True,False,Brief
595,True,False,True,False,Brief
596,True,False,True,False,Brief
597,True,False,True,False,Brief
598,True,False,True,False,Brief
599,True,False,True,False,Brief
600,True,False,True,False,Brief
601,False,False,False,False,Brief
602,True,False,False,True,Brief
603,True,False,True,False,Brief
604,True,False,True,False,Brief
605,True,False,True,False,Brief
606,True,False,True,False,Brief
607,True,False,True,False,Brief
608,True,False,True,False,Brief
609,True,False,True,False,Brief
610,True,False,True,False,Brief
611,True,False,True,False,Brief
612,True,False,True,False,Brief
613,True,False,True,False,Brief
614,True,False,True,False,Brief
615,True,False,True,False,Brief
616,True,False,True,False,Brief
617,True,False,True,False,Brief
618,True,False,True,False,Brief
619,True,False,True,False,Brief
620,True,False,True,False,Brief
621,False,False,False,False,Verweis
622,True,False,True,False,Brief
623,True,False,True,False,Brief
624,True,False,True,False,Brief
625,True,False,True,False,Brief
626,True,False,True,False,Brief
627,True,False,True,False,Brief
628,False,False,True,False,Brief
629,True,False,False,True,Brief
630,True,False,True,False,Brief
631,True,False,True,False,Brief
632,True,False,True,False,Brief
633,True,False,True,False,Brief
634,True,False,True,False,Brief
635,False,False,False,False,Verweis
636,True,False,True,False,Brief
637,True,False,True,False,Brief
638,True,False,True,False,Brief
639,True,False,True,False,Brief
640,True,False,True,False,Brief
641,True,False,True,False,Brief
642,True,False,True,False,Brief
643,True,False,True,False,Brief
644,True,False,True,False,Brief
645,True,False,True,False,Brief
646,True,False,True,False,Brief
647,True,False,True,False,Brief
648,True,False,True,False,Brief
649,True,False,True,False,Brief
650,False,False,False,False,Hinweis
651,True,False,False,True,Brief
652,True,False,True,False,Brief
653,True,False,True,False,Brief
654,True,False,True,False,Brief
655,True,False,True,False,Beilage
657,True,False,True,False,Brief
658,True,False,True,False,Brief
659,True,False,True,False,Brief
660,True,False,True,False,Brief
661,True,False,True,False,Brief
662,True,False,True,False,Brief
663,True,False,True,False,Brief
664,True,False,True,False,Brief
665,True,False,True,False,Brief
666,True,False,True,False,Brief
667,False,False,False,False,Brief
668,False,False,True,False,Brief
669,True,False,True,False,Brief
670,True,False,False,True,Brief
671,True,False,True,False,Brief
672,True,False,True,False,Brief
673,True,False,True,False,Brief
674,True,False,True,False,Brief
675,True,False,True,False,Brief
676,True,False,True,False,Brief
677,True,False,True,False,Brief
678,True,False,True,False,Brief
679,True,False,True,False,Brief
680,True,False,True,False,Brief
681,True,False,True,False,Brief
682,True,False,True,False,Brief
683,True,False,True,False,Brief
684,True,False,True,False,Brief
685,False,False,False,False,Verweis
686,True,False,True,False,Brief
687,True,False,True,False,Beilage
688,True,False,True,False,Brief
689,True,False,True,False,Brief
690,True,False,True,False,Brief
691,True,False,True,False,Brief
692,True,False,True,False,Brief
693,False,False,True,False,Brief
694,False,False,True,False,Brief
695,True,False,True,False,Brief
696,True,False,True,False,Brief
697,True,False,True,False,Brief
698,True,False,True,False,Brief
699,True,False,True,False,Brief
700,True,False,True,False,Brief
701,True,False,True,False,Brief
702,True,False,True,False,Brief
703,True,False,True,False,Brief
704,True,False,True,False,Brief
705,True,False,True,False,Brief
706,True,False,False,True,Brief
707,True,False,True,False,Brief
708,True,False,True,False,Brief
709,True,False,True,False,Brief
710,True,False,True,False,Brief
711,False,False,True,False,Brief
712,True,False,True,False,Brief
713,True,False,True,False,Brief
714,True,False,True,False,Brief
715,False,False,False,False,Hinweis
716,True,False,True,False,Brief
717,False,False,False,False,Nachschrift
718,True,False,True,False,Brief
719,True,False,True,False,Brief
720,True,False,True,False,Brief
721,True,False,True,False,Brief
722,True,False,True,False,Beilage
723,True,False,True,False,Brief
724,True,False,True,False,Brief
725,False,False,True,False,Brief
726,True,False,True,False,Brief
727,True,False,True,False,Brief
728,True,False,True,False,Brief
729,True,False,True,False,Brief
730,True,False,True,False,Brief
731,True,False,True,False,Brief
732,True,False,True,False,Brief
733,True,False,True,False,Brief
734,True,False,True,False,Brief
735,True,False,True,False,Brief
736,True,False,True,False,Brief
737,True,False,False,True,Brief
738,False,False,False,False,Verweis
739,True,False,True,False,Brief
740,True,False,True,False,Brief
741,True,False,True,False,Brief
742,True,False,True,False,Brief
743,True,False,True,False,Brief
744,True,False,True,False,Brief
745,True,False,True,False,Brief
746,False,False,True,False,Beilage
747,True,False,True,False,Brief
748,False,False,False,False,Hinweis
749,True,False,True,False,Brief
750,True,False,True,False,Brief
751,True,False,True,False,Brief
752,True,False,True,False,Brief
753,True,False,True,False,Brief
754,True,False,True,False,Brief
755,True,False,True,False,Brief
756,True,False,True,False,Brief
757,True,False,True,False,Brief
758,True,False,True,False,Brief
759,True,False,True,False,Brief
760,True,False,True,False,Brief
761,True,False,False,True,Brief
762,True,False,True,False,Brief
763,True,False,True,False,Brief
764,True,False,True,False,Brief
765,True,False,True,False,Brief
766,True,False,False,True,Hinweis
767,True,False,True,False,Brief
768,True,False,True,False,Brief
769,True,False,True,False,Brief
770,True,False,True,False,Brief
771,True,False,True,False,Brief
772,True,False,True,False,Brief
773,False,False,False,False,Verweis
774,True,False,True,False,Brief
775,False,False,False,False,Verweis
777,True,False,False,True,Brief
778,True,False,True,False,Beilage
779,True,False,False,True,NeueZeitung
780,True,False,False,True,Beilage
781,True,False,True,False,Brief
782,True,False,True,False,Brief
783,True,False,False,True,Brief
784,False,False,False,False,Verweis
785,False,False,False,False,Verweis
786,True,False,True,False,Brief
787,False,False,False,False,Verweis
788,True,False,True,False,Brief
789,True,False,False,True,Beilage
790,True,False,True,False,Brief
791,True,False,True,False,Brief
792,True,False,True,False,Brief
793,False,False,False,False,Verweis
794,True,False,False,True,Brief
795,True,False,True,False,Brief
796,True,False,True,False,Brief
797,True,False,True,False,Brief
798,False,False,False,False,Verweis
799,True,False,True,False,Brief
800,True,False,True,False,Brief
801,True,False,True,False,Brief
802,True,False,True,False,Brief
803,True,False,True,False,Brief
804,True,False,True,False,Brief
805,True,False,True,False,Briefanfang
806,True,False,True,False,Briefschluss
807,True,False,True,False,Brief
808,True,False,True,False,Brief
809,True,False,True,False,Brief
810,True,False,True,False,Brief
811,True,False,True,False,Brief
812,True,False,True,False,Brief
813,True,False,True,False,Brief
814,True,False,True,False,Brief
815,True,False,True,False,Brief
816,True,False,True,False,Brief
817,True,False,True,False,Brief
818,True,False,True,False,Brief
819,True,False,True,False,Briefschluss
820,True,False,True,False,Brief
821,True,False,True,False,Brief
822,True,False,False,True,Brief
823,True,False,True,False,Brief
824,True,False,True,False,Brief
825,True,False,True,False,Brief
826,True,False,True,False,Brief
827,True,False,True,False,Brief
828,True,False,True,False,Brief
829,True,False,True,False,Brief
830,True,False,True,False,Brief
831,True,False,True,False,Brief
832,True,False,True,False,Brief
833,True,False,True,False,Brief
834,True,False,True,False,Brief
835,True,False,True,False,Brief
836,True,False,True,False,Brief
837,True,False,True,False,Brief
838,True,False,True,False,Brief
839,True,False,True,False,Brief
840,True,False,True,False,Brief
841,True,False,True,False,Brief
842,True,False,True,False,Brief
843,True,False,True,False,Brief
844,True,False,True,False,Brief
845,True,False,True,False,Brief
846,True,False,True,False,Brief
847,True,False,True,False,Brief
848,True,False,True,False,Brief
849,True,False,True,False,Brief
850,True,False,True,False,Brief
851,False,False,False,False,Widmung
852,True,False,True,False,Brief
853,True,False,True,False,Brief
854,True,False,True,False,Brief
855,True,False,True,False,Brief
856,False,False,False,False,Brief
857,True,False,True,False,Brief
858,True,False,True,False,Brief
859,True,False,True,False,Brief
860,True,False,True,False,Brief
861,True,False,True,False,Brief
862,True,False,True,False,Brief
863,True,False,True,False,Brief
864,True,False,True,False,Brief
865,True,False,True,False,Brief
866,True,False,True,False,Brief
867,True,False,True,False,Brief
868,True,False,True,False,Brief
869,True,False,True,False,Brief
870,True,False,True,False,Brief
871,True,False,True,False,Brief
872,True,False,True,False,Brief
873,True,False,True,False,Brief
874,True,False,True,False,Brief
875,True,False,True,False,Brief
876,True,False,True,False,Brief
877,True,False,True,False,Brief
878,True,False,True,False,Brief
879,True,False,True,False,Brief
880,True,False,True,False,Brief
881,True,False,True,False,Brief
882,True,False,True,False,Brief
883,True,False,True,False,Brief
884,True,False,True,False,Brief
885,False,False,True,False,Brief
886,True,False,True,False,Brief
887,True,False,True,False,Brief
888,True,False,True,False,Brief
889,True,False,True,False,Brief
890,True,False,True,False,Brief
891,True,False,True,False,Brief
892,True,False,False,True,Brief
893,True,False,True,False,Brief
894,True,False,True,False,Brief
895,True,False,True,False,Brief
896,True,False,True,False,Brief
897,True,False,True,False,Brief
898,True,False,True,False,Brief
899,True,False,True,False,Brief
900,True,False,True,False,Brief
901,True,False,True,False,Brief
902,True,False,True,False,Brief
903,True,False,True,False,Brief
904,True,False,True,False,Brief
905,True,False,True,False,Brief
906,True,False,True,False,Brief
907,True,False,True,False,Brief
908,True,False,True,False,Brief
909,True,False,True,False,Brief
910,True,False,True,False,Brief
911,True,False,True,False,Brief
912,True,False,True,False,Brief
913,True,False,True,False,Brief
914,True,False,True,False,Brief
915,True,False,True,False,Brief
916,True,False,True,False,Brief
917,False,False,False,False,Verweis
918,True,False,True,False,Brief
919,True,False,True,False,Brief
920,True,False,True,False,Brief
921,False,False,True,False,Verweis
922,True,False,True,False,Brief
923,True,False,True,False,Brief
924,True,False,True,False,Brief
925,True,False,True,False,Brief
926,True,False,True,False,Brief
927,True,False,True,False,Brief
928,True,False,True,False,Brief
929,True,False,True,False,Brief
930,True,False,False,True,Brief
931,True,False,True,False,Brief
932,True,False,True,False,Brief
933,True,False,False,True,Brief
934,True,False,True,False,Brief
935,False,False,False,False,Verweis
936,True,False,True,False,Brief
937,True,False,True,False,Brief
938,True,False,True,False,Brief
939,False,False,False,False,Verweis
940,True,False,True,False,Brief
941,True,False,True,False,Brief
942,True,False,True,False,Brief
943,True,False,True,False,Brief
944,True,False,True,False,Brief
945,True,False,True,False,Brief
946,True,False,True,False,Brief
947,True,False,True,False,Brief
948,True,False,True,False,Brief
949,True,False,True,False,Brief
950,True,False,True,False,Brief
951,True,False,True,False,Brief
952,True,False,True,False,Brief
953,True,False,True,False,Brief
954,True,False,True,False,Brief
955,True,False,True,False,Brief
956,True,False,True,False,Brief
957,False,False,False,False,Verweis
958,True,False,False,True,Brief
959,True,False,True,False,Brief
960,True,False,True,False,Brief
961,True,False,True,False,Brief
962,True,False,True,False,Brief
963,True,False,True,False,Brief
964,True,False,True,False,Brief
965,True,False,True,False,Brief
966,True,False,True,False,Brief
967,True,False,True,False,Brief
968,True,False,True,False,Brief
969,True,False,True,False,Brief
970,True,False,True,False,Brief
971,True,False,True,False,Brief
972,True,False,True,False,Beilage
973,True,False,True,False,Brief
974,True,False,True,False,Brief
975,False,False,False,False,Widmung
976,True,False,True,False,Brief
977,True,False,True,False,Brief
978,True,False,True,False,Brief
979,True,False,True,False,Brief
980,True,False,True,False,Brief
981,True,False,True,False,Brief
982,True,False,True,False,Brief
983,True,False,True,False,Brief
984,True,False,True,False,Brief
985,True,False,True,False,Brief
986,True,False,True,False,Brief
987,True,False,False,True,Brief
988,True,False,True,False,Brief
989,True,False,True,False,Brief
990,True,False,True,False,Brief
991,True,False,True,False,Brief
992,False,False,False,False,Brief
993,True,False,True,False,Brief
